bag_id,true_label,pred_label,prob
file_06_bag_014,1,0,0.0
file_06_bag_015,1,0,0.0
file_06_bag_016,1,0,0.0284
file_06_bag_017,1,0,0.0131
file_06_bag_018,1,0,0.0
file_06_bag_019,1,0,0.0
file_06_bag_020,1,1,0.9992
file_06_bag_021,1,0,0.0
file_06_bag_022,1,0,0.0156
file_06_bag_023,1,1,0.8418
file_06_bag_024,1,1,0.6914
file_06_bag_025,1,0,0.0102
file_06_bag_026,1,1,0.9907
file_06_bag_027,1,1,0.867
file_06_bag_028,1,1,0.9576
file_06_bag_029,1,1,0.9004
file_21_bag_005,1,1,0.9989
file_21_bag_006,1,1,0.999
file_21_bag_010,1,1,1.0
file_21_bag_011,1,0,0.0
file_21_bag_012,1,0,0.0007
file_21_bag_013,1,0,0.0
file_21_bag_014,1,0,0.1053
file_21_bag_016,1,0,0.262
file_21_bag_017,1,0,0.0912
file_21_bag_020,1,1,1.0
file_21_bag_021,1,1,0.9998
file_21_bag_022,1,0,0.0
file_21_bag_024,1,0,0.0
file_21_bag_025,1,0,0.0
file_21_bag_026,1,0,0.0
file_21_bag_027,1,1,0.9998
file_22_bag_000,1,1,1.0
file_22_bag_001,1,1,1.0
file_22_bag_003,1,1,1.0
file_22_bag_007,1,0,0.0
file_22_bag_009,1,0,0.0
file_22_bag_010,1,0,0.0854
file_22_bag_011,1,0,0.0004
file_22_bag_012,1,0,0.0444
file_22_bag_013,1,0,0.0
file_22_bag_014,1,1,0.9998
file_22_bag_017,1,1,1.0
file_22_bag_018,1,1,0.9994
file_22_bag_019,1,1,1.0
file_22_bag_021,1,1,0.9991
file_22_bag_026,1,1,1.0
file_22_bag_027,1,1,1.0
file_22_bag_028,1,1,0.998
file_22_bag_029,1,0,0.0
file_06_bag_009,0,1,1.0
file_06_bag_011,0,1,0.9978
file_06_bag_000,0,1,0.8326
file_06_bag_012,0,1,0.9998
file_06_bag_005,0,1,0.7438
file_06_bag_008,0,1,0.9999
file_06_bag_002,0,1,0.8393
file_06_bag_001,0,1,0.7496
file_06_bag_013,0,1,0.9998
file_06_bag_004,0,1,0.6992
file_06_bag_007,0,1,0.9999
file_06_bag_010,0,1,0.847
file_06_bag_003,0,1,0.8487
file_06_bag_006,0,1,0.9994
file_21_bag_018,0,0,0.0029
file_21_bag_023,0,0,0.0061
file_21_bag_000,0,1,0.9388
file_21_bag_028,0,1,0.9999
file_21_bag_007,0,1,0.9994
file_21_bag_015,0,1,0.9977
file_21_bag_002,0,1,0.9952
file_21_bag_001,0,1,0.9738
file_21_bag_029,0,1,1.0
file_21_bag_004,0,0,0.0
file_21_bag_009,0,1,0.9966
file_21_bag_019,0,1,0.8353
file_21_bag_003,0,1,0.9379
file_21_bag_008,0,1,0.9999
file_22_bag_024,0,1,0.8266
file_22_bag_023,0,1,0.9162
file_22_bag_002,0,1,1.0
file_22_bag_022,0,1,1.0
file_22_bag_015,0,1,0.9784
file_22_bag_005,0,1,1.0
file_22_bag_004,0,1,1.0
file_22_bag_025,0,1,1.0
file_22_bag_008,0,1,1.0
file_22_bag_020,0,1,0.9998
file_22_bag_006,0,1,0.9692
file_22_bag_016,0,1,0.9343
